dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod,city
1763110800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.33,2025-11-14 09:00:00,18.41,18.32,18.41,18.77,1014,1014,1007,77,-0.36,75,4.91,218,4.41,0.14,d,Beirut
1763121600,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",6217,1.0,2025-11-14 12:00:00,18.84,18.69,18.84,19.71,1014,1014,1006,73,-0.87,83,3.88,233,3.98,3.03,d,Beirut
1763132400,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]",10000,1.0,2025-11-14 15:00:00,19.92,19.66,19.92,20.67,1013,1013,1006,65,-0.75,85,2.3,199,2.4,3.62,n,Beirut
1763143200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-11-14 18:00:00,19.43,18.94,19.43,19.43,1013,1013,1006,58,0.0,49,1.39,191,1.27,1.54,n,Beirut
1763154000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.98,2025-11-14 21:00:00,18.52,18.02,18.52,18.52,1013,1013,1006,61,0.0,3,2.74,218,2.84,0.83,n,Beirut
1763164800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-11-15 00:00:00,19.12,18.71,19.12,19.12,1013,1013,1006,62,0.0,3,4.06,204,4.62,1.56,n,Beirut
1763175600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,1.0,2025-11-15 03:00:00,18.41,18.06,18.41,18.41,1012,1012,1006,67,0.0,18,4.47,186,5.35,1.39,n,Beirut
1763186400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,1.0,2025-11-15 06:00:00,18.84,18.42,18.84,18.84,1013,1013,1006,63,0.0,18,2.76,167,2.52,1.52,d,Beirut
1763197200,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.53,2025-11-15 09:00:00,19.76,19.28,19.76,19.76,1013,1013,1006,57,0.0,23,1.8,234,2.36,0.52,d,Beirut
1763208000,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000,0.46,2025-11-15 12:00:00,19.82,19.19,19.82,19.82,1012,1012,1005,51,0.0,7,1.27,319,1.95,0.24,d,Beirut
1763218800,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2025-11-15 15:00:00,19.72,19.08,19.72,19.72,1013,1013,1006,51,0.0,47,1.6,2,1.19,,n,Beirut
1763229600,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.21,2025-11-15 18:00:00,19.15,18.58,19.15,19.15,1014,1014,1008,56,0.0,25,2.86,359,2.3,0.17,n,Beirut
1763240400,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",10000,0.2,2025-11-15 21:00:00,19.19,18.52,19.19,19.19,1015,1015,1008,52,0.0,0,2.71,20,3.02,0.19,n,Beirut
1763251200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-16 00:00:00,18.97,18.23,18.97,18.97,1015,1015,1009,50,0.0,0,2.54,33,2.96,,n,Beirut
1763262000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-16 03:00:00,18.72,17.85,18.72,18.72,1016,1016,1009,46,0.0,0,1.72,32,1.61,,n,Beirut
1763272800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-11-16 06:00:00,19.09,18.18,19.09,19.09,1018,1018,1011,43,0.0,0,0.51,81,0.87,,d,Beirut
1763283600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-11-16 09:00:00,19.7,18.87,19.7,19.7,1019,1019,1012,44,0.0,1,0.39,121,0.81,,d,Beirut
1763294400,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",10000,0.0,2025-11-16 12:00:00,19.92,19.19,19.92,19.92,1019,1019,1012,47,0.0,1,2.15,234,2.05,,d,Beirut
1763305200,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-16 15:00:00,19.85,19.12,19.85,19.85,1020,1020,1013,47,0.0,0,1.95,219,1.6,,n,Beirut
1763316000,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-16 18:00:00,19.73,19.04,19.73,19.73,1021,1021,1014,49,0.0,0,1.91,203,1.53,,n,Beirut
1763326800,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-16 21:00:00,19.48,18.79,19.48,19.48,1022,1022,1015,50,0.0,0,1.68,203,1.33,,n,Beirut
1763337600,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",10000,0.0,2025-11-17 00:00:00,19.26,18.52,19.26,19.26,1022,1022,1015,49,0.0,6,0.67,130,0.43,,n,Beirut
1763348400,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",10000,0.0,2025-11-17 03:00:00,19.07,18.23,19.07,19.07,1022,1022,1015,46,0.0,47,0.7,67,0.73,,n,Beirut
1763359200,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",10000,0.0,2025-11-17 06:00:00,19.63,18.69,19.63,19.63,1023,1023,1017,40,0.0,46,0.53,80,0.52,,d,Beirut
1763370000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2025-11-17 09:00:00,20.4,19.67,20.4,20.4,1024,1024,1017,45,0.0,100,2.23,346,1.57,,d,Beirut
1763380800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2025-11-17 12:00:00,20.23,19.67,20.23,20.23,1023,1023,1016,52,0.0,100,2.88,354,2.49,,d,Beirut
1763391600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-11-17 15:00:00,20.3,19.69,20.3,20.3,1023,1023,1016,50,0.0,100,3.74,9,4.03,,n,Beirut
1763402400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-11-17 18:00:00,20.84,20.21,20.84,20.84,1023,1023,1016,47,0.0,100,5.64,19,5.66,,n,Beirut
1763413200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-11-17 21:00:00,21.43,20.73,21.43,21.43,1022,1022,1015,42,0.0,99,3.3,28,3.3,,n,Beirut
1763424000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-11-18 00:00:00,21.54,20.74,21.54,21.54,1022,1022,1015,38,0.0,99,1.3,74,1.58,,n,Beirut
1763434800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000,0.0,2025-11-18 03:00:00,21.46,20.65,21.46,21.46,1021,1021,1014,38,0.0,100,1.28,82,1.51,,n,Beirut
1763445600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",10000,0.0,2025-11-18 06:00:00,21.97,21.19,21.97,21.97,1022,1022,1015,37,0.0,88,1.01,191,0.95,,d,Beirut
